Subcorpus	Filename	Year data collection	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Variety of native language (country)	Father's native language	Mother's native language	Languages spoken at home	Any foreign language?	Foreign language	Proficiency (self-assessment) in foreign language speaking	Proficiency (self-assessment) in foreign language listening	Proficiency (self-assessment) in foreign language reading	Proficiency (self-assessment) in foreign language writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writing/audio details	Minutes taken to complete the task	Resources used	Text	Original text
Native	EN_WR_20_13_AMS	2016	Female	20	University of Rochester	epidemiology	Junior	English	American English	English	English, Polish	English, Polish	Yes	Spanish	B2 (upper intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	B2 (upper intermediate)	6 / 6	French	B1 (lower intermediate)	B1 (lower intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	Written	13	13. Frog	written_online	""	""	One day, a small boy decided to catch a frog and keep it in a jar.  The frog was not a fan of this living arrangement and escaped while the boy and his dog slept. In the morning the child and dog went to go look in the forest for the frog.  They startle a deer and are pushed into the river, but manage to climb onto a log.  While sitting on the log, the boy and his dog see the frog that was abducted earlier.  The boy realizes that the frog has a family and that he was terribly wrong to try and take them away, so he waves goodbye and leaves with his dog.	
Native	EN_WR_20_13_MPG	2016	Female	20	Sarah Lawrence College	Foreign language	Junior	English	American English	English	English	English	Yes	Japanese	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	Spanish	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	Written	13	13. Frog	written_online	""	""	"One day a little boy and his dog caught a frog put it in a glass jar. They brought the frog up to his room and went to bed looking forward to the adventures they would have the next day together. But, when the dog and boy woke up the next morning the frog was gone! ""Oh no!"" said the boy to his dog. ""We must go find him!"" So the boy and his dog went outside to look for the frog. They looked high and low, but they could not find the frog. ""What if we never see him again?"" the boy cried.  Finally, after searching all day, the boy and his dog reach the bank of a little pond in the middle of the woods. And there, sitting next to his family, was the frog! He croaked happily as if to say ""Hello!""  The boy and his dog we're very happy that they had found their friend again. They came back many times to play with the frog. The end."	
Native	EN_WR_20_13_CP	2016	Male	20	Haverford	Political Science	Junior	English	American English	English	English	English	Yes	Spanish	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	""	""	One day Johnny and his dog were playing with their new friend Froggy. After a long day and lot's of fun, they all went to bed. The next morning, Johnny woke to find that Froggy was missing! They looked all over the forest, in logs and around bushes. They even met a buck who was not very nice and pushed them off a ledge into the creek. But when they looked around in the creek, they saw Froggy! And he had a friend with him.	
Native	EN_WR_20_13_JC	2016	Female	20	University of Rochester	History, English	Junior	English	American English	Romanian	Romanian	English, Romanian	Yes	Romanian	B2 (upper intermediate)	C2 (upper advanced)	A2 (upper beginner)	A1 (lower beginner)	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	""	""	"One day a boy found a frog and captured it in a jar. While the boy was asleep that night the frog had managed to jump out of the jar and escape. When the boy woke up the next morning he was sad to find his new friend had disappeared. So he set out with his dog, Rufus, to search for the frog. The boy went through valleys and called ""Here frog, frog, frog, frog!"". He then entered into the forest. He climbed high in the trees, and on top of rocks, searching in every nook and cranny for the little frog. While searching on top of the rock the boy had stumbled across a deer. The deer was not happy to see an imposter in his territory. He picked the boy up with his head and flung him and the dog into the shallow river below. Rufus and the boy quickly scrambled away. While climbing over a log, they came upon a frog family. The boy recognized his frog as one of them. Seeing the frog amongst his family made the boy realize that he could no longer take him home with Rufus. So the boy waved goodbye to his friend and hope to visit him again soon."	
Native	EN_WR_20_13_SPB	2016	Male	20	University of Rochester	Computer Science	Junior	English	American English	English	English	English	Yes	Spanish	A2 (upper beginner)	A2 (upper beginner)	B1 (lower intermediate)	A1 (lower beginner)	6 / 6	Hebrew	A1 (lower beginner)	A1 (lower beginner)	B1 (lower intermediate)	A1 (lower beginner)	Written	13	13. Frog	written_online	""	""	One day, a boy and his dog caught a frog while playing outside. He found a jar and put the frog there, but, the frog, being a frog, did not like being imprisoned in the jar. So he hatched a scheme to wait until all his wardens retired to bed, when he would escape into the night and continue his life as a frog. when the boy woke up, he had found that his prisoner had escaped so he went on a frog-hunt. In his searches he found a karmic dear that saw into his soul and saw how he had cruelly imprisoned that frog. So to teach him a lesson, the dear kidnapped the boy and his dog and threw them in a woodland prison of the dear's own creation. It is there that the boy lived out the rest of his days as a prisoner of nature.	
Native	EN_WR_20_13_LH	2016	Female	20	University of Rochester	BCS	Junior	English	American English	English	English	English	Yes	Spanish	B1 (lower intermediate)	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	""	""	One day a boy brought a frog home. When he was sleeping the frog escaped. The boy and his dog went looking for the frog. A moose pushed the boy over a cliff and he feel into a pond, where he found the frog with his frog family.	
Native	EN_WR_21_13_JD	2016	Female	21	University of Rochester	History	Junior	English	American English	English	English	English	Yes	Spanish	A2 (upper beginner)	B1 (lower intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	""	""	One day, young Timothy and his dog, Patrick, caught a frog at the pond down the street from Timothy's house. They brought him home and put him in a glass jar at the end of Timothy's bed.  <br/> That night, however, unbeknownst to Timothy or Patrick, the frog escaped! Saddened by this turn of events, Timothy decided to return to the forest where he had found the frog and bring him back. <br/> Timothy and Patrick wandered the forest for several hours, Timothy calling for his small friend to come home and Patrick trying to smell for the frog.  <br/> As Timothy climbed a rock beside a set of barren branches, trying to call for the frog, the branches shifted and Timothy realized that they were not branches at all. In fact, Timothy was holding onto a young buck! <br/> The buck did not care for Timothy's manhandling at all, and he twisted his large head, sending Timothy tumbling down a small drop into a pond. <br/> Patrick, ever a good dog, leapt after Timothy and helped him swim to safety outside the water. Timothy was sad now, fearing he would never find the frog now.    <br/> Suddenly he heard a loud croak, and Timothy turned to see the very frog that he was searching for! However, the frog was not alone. The frog had a partner and several smaller frogs with it. Timothy realized that he should not have taken the frog from his proper habitat and family, and he resolved to leave the reptile alone with its family to live out its life in the pond.	
Native	EN_WR_21_13_MTH	2016	Male	21	University of Rochester	Biochemistry	Junior	English	American English	English	English	English	Yes	German	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	""	""	One day, a boy captured a frog. In the middle of the night, the frog snuck out and ran off on the boy. He went to go find the frog with his best friend, his loyal dog. They searched high and low through the forest, but could not find the frog. They had almost given up when the young boy fell off of a cliff into a lake, and found the frog. He had gone back to be with his family! The boy saw all the baby frogs, and he was very happy.	
Native	EN_WR_21_13_JDC	2016	Male	21	University of Rochester	Classics	Junior	English	American English	English	English	English	Yes	Latin	A2 (upper beginner)	B1 (lower intermediate)	C1 (lower advanced)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	""	""	One day a boy took off the lid of his frog jar to let his frog breath at night. But the frog escaped as he slept! The boy was very worried about his frog when he woke to find it missing, so he and his dog went on a search for the frog. They looked high and low, climbing over many obstacles and avoiding dangers. The boy disturbed a buck in the woods and, startled, the buck pushed him off of a ledge into a pond. Splash! The boy's dog pulled him from the water. Just as they were giving up on their search to go home, the boy spies his frog with a family on a log, and the boy is happy.	
Native	EN_WR_21_13_SY	2016	Female	21	University of Rochester	Ecology and Evolutionary Biology	Senior	English	American English	English	English	English	Yes	Spanish	A2 (upper beginner)	B1 (lower intermediate)	B1 (lower intermediate)	A1 (lower beginner)	6 / 6	American Sign Language	B2 (upper intermediate)	B2 (upper intermediate)	C2 (upper advanced)	C2 (upper advanced)	Written	13	13. Frog	written_online	""	""	One day, a boy and his dog were playing with their frog. During the night, the frog got out so the boy and his dog decided to look for it. They looked everywhere until the boy accidentally angered a deer. The deer took them and dumped them into a creek. Upon swimming to shore and climbing onto a log, they found the frog! The frog had started a family so, with smiles on their faces, the boy and his dog left the frog on the log with its family.	
Native	EN_WR_21_13_AGS	2016	Male	21	Colorado College	sociology	3rd year/ junior	English	American English	English	English	English	Yes	Spanish	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	""	""	One day, a boy and his dog has a frog in a jar. In the dark of the night, the frog escaped, with its powerful legs. in the morning the boy woke up perplexed, the jar was empty, the frog had gone! So boy and his dog went searching outside, he called through the forest but just could not find the frog in the tree, the frog on a rock, but the stick he was leaning on started to walk! the boy fell forward on the nose of a deer, and the deer quickly dumped him into a river, and boy and his dog will never forget how awfully, dreadfully, terribly wet they had gotten when suddenly behind from a log as rotten as possible out came a frog! Boy and his dog had encountered their friend, but realized froggy had run from their bed because froggy had family just like the boy, so they left little froggy in his home filled with joy.	
Native	EN_WR_21_13_SWS	2016	Male	21	Pennsylvania State University	International Politics and Psychology	Senior	English	American English	English	English	English	Yes	Italian	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	""	""	"One day, Joe caught a frog. He put it in a jar in his bedroom, and after looking at it for a while he went to sleep. When he woke up, it was gone. Saddened by its absence, he went to search for it in the forest with his dog. He searched high and low without success, until a wild elk knocked him and the dog off an escarpment into a lake. He climbed out, drenched and depressed, and ready to go home. Then, he heard a ""ribbit"" from behind a log. He climbed over it, and saw the frog with another frog and a bunch of smaller frogs. He suddenly realized that he'd taken the frog from the wild without wondering whether the frog had a family, and he left the frog in peace."	
Native	EN_WR_21_13_HJ	2017	Female	21	Pennsylvania State University	Biochemistry	Junior	English	American English	English	English	English	Yes	Spanish	A1 (lower beginner)	A2 (upper beginner)	B1 (lower intermediate)	A2 (upper beginner)	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	20	""	One day, little Tommy sat admiring the slimy, green frog that he found at the park earlier that day. It's big eyes bulged and a low sound reverberated deeply in it's belly every so often. With a smile, Tommy dubbed the frog Samuel. Since Tommy had quite a long day, it was time for him to go to bed. He said goodnight to Samuel in his glass jar, and tucked himself into bed. Early the next morning, little Tommy awoke to find Samuel's jar was empty. His lips drooped into a frown as he realized that the frog must have escaped during the night. Tommy threw on his clothes from yesterday that were strewn about the floor, and ran out the door on the hunt for his new friend. He searched the park high and low, calling out Samuel's name every so often. Tommy searched the trees, but alas there was only a hive of bees. As he was peering into the bushes, he felt something move beneath him. All of a sudden, Tommy was lifted high into the air on his belly, a massive buck beneath him. The buck was very unhappy to find Tommy perched upon his head, so he tossed him off, Tommy landing in the pond nearby with a splash. Sputtering, he sat up, pushing his wet hair out of his eyes to reassess his surroundings. It was then that he heard a croak. Tommy immediately thought of Samuel and began to search the pond's surroundings. Not a minute went by before another croak was issued from behind a large log. Tommy rounded the corner, and to his surprise not only saw Samuel, but an entire family of frogs. This must be Samuel's wife and kids, Tommy thought. He decided that Samuel would be much happier here with his family than in the jar that Tommy had for him at home. With this bittersweet knowledge, Tommy said farewell to his new friend and headed home after promising to visit him often. Even though Tommy knew he couldn't raise Samuel as his own, he was still happy to know that the frog was safe and with his family.	
Native	EN_WR_21_13_LC	2016	Female	21	Wofford College	Biology and Spanish	Senior	English	American English	English	English	English	Yes	Spanish	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	""	""	"One day, a little boy came home to find that his parents had brought him a pet frog. He brought the frog in his jar to his room and spent all afternoon watching the frog with his pet dog. The frog was afraid of the dog and didn't much like his jar, so he hatched a plan of escape. That night, while the boy and the dog were sleeping, the frog climbed out of the jar and hopped away. When the boy woke up, he realized that his frog had gone missing. He was in a panic and immediately turned the house upside-down in search. The boy realized that the frog must not be in the house, so he and his dog went outside to search. They called for the frog into the woods, ""Frog! Frog, where are you?"" but he didn't come back. The boy and the dog headed into the forest to search. High and low, left and right, in a tree, on a rock- the two searched everywhere. The boy just couldn't find his frog. He did, however, find a new animal: a huge buck. The buck didn't like the boy's intrusion into his territory, and rapidly threw him over a short ledge. The boy and his dog landed with a thud in a soft march. When he got up and brushed himself off, the boy noticed a whole family of frogs watching him curiously. Among them he saw his pet frog. He had found him! His pet, touched that the boy had gone through so much to find him, decided to go back home with the boy and his dog. They waved goodbye to the frog family and trekked back home, where the three became great friends and lived HOPpily ever after."	
Native	EN_WR_21_13_AG	2016	Female	21	Wheaton College	Psychology	Junior	English	American English	English	English	English	Yes	""	B2 (upper intermediate)	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	""	""	One day Eleanor was out in the woods with her dog, Buster. The two enjoyed following the stream behind their house pretending to be famous explorers, or pirates, or spies. They would sometimes get lost in their imaginary games for hours. One day in the middle of the summer as Eleanor and Buster were looking for dragon eggs in a calm pool on the edge of the river a frog hopped right onto Eleanor's shoulder. Eleanor was enchanted with her new friend, who spoke to her about life as a frog and how he had traveled all the way down the stream to the Big Pond and there were pirates in the big pond. Buster was dubious about trusting the Frog, and he was a little jealous of the interest Eleanor had her new friend. He made it clear that he was not interested in being the Frog's friend. Eleanor invited the Frog up to her house for a sleep over. She prepared his bowl and fed him a big supper. Buster, was still not delighted by the Frog's presence. He did not believe that the Frog had ever been down to the Big Pond or that there were pirates there. Once Eleanor fell alseep the Frog decided to leave. While he enjoyed Eleanor's company, he felt like Buster didn't like him. When Eleanor and Buster woke up and the Frog was gone Eleanor became worried that the Frong was kidnapped. She insisted that Buster come with her to help her find the Frog. Buster was reluctant but goes along to support his best friend. The two went further down the stream than they have ever been. They saw strange new animals, and felt a little afraid when they didn't recognize where they were. The area was all new, but Eleanor insisted that finding the Frog is essential. Eventually Eleanor decided to stop and rest on top of a little ledge. She saw some black berries and went to reach for them, but suddenly she found herself on top of a deer. The deer was so startled that he flicked his head and she went flying into a body of water. Buster jumped in right after her. When they resurfaced they realized that they must be in the Big Pond. The Frog noticed the disruption from the other side of the pond and swam over immediately to investigate and help out. The three realized what had happened and were simultaneously irritated and touched. The Frog apologized for being rude and not leaving a note and lying about the pirates. He said that he would be lucky to have Eleanor and Buster as his friends. Buster apologized for not being nice to the Frog. Eleanor forgave Buster for being grumpy, and the Frog for exaggerating the truth.	
Native	EN_WR_22_13_SW	2017	Female	22	Pennsylvania State University	Psychology	Senior	English	American English	English	English	English	Yes	""	""	""	""	""	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	2	""	"One day I captured a frog while outside playing. Mama and Papa told me that I could keep the frog in a mason jar, but I had to keep the top on it. That night my dog whiskers and I, watched the frog leap around in the jar before saying good night.The next morning I woke up and the frog was gone. I began to search everywhere. ""Frog"", I shouted in the valley, but I did not hear ""Ribbit"" back. I climbed up the trees and climbed on some rocks, but Frog seemed to have disappeared."	
Native	EN_WR_22_13_ES	2016	Female	22	DePauw University	Spanish/English Writing	Senior	English	American English	English	English	English	Yes	Spanish	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	""	""	One day my frog escaped. I put him in a jar by my bed but he must have gotten out. I searched for him everywhere. First I searched my room. Then I searched outside. My dog even helped, but we could not find him.	
Native	EN_WR_22_13_RFF	2017	Male	22	Pennsylvania State University	Accounting	4	English	American English	English	English	English	Yes	Spanish	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	1	""	One day, a boy and his dog were watching his pet frog. After playing with the frog for a while, the boy went to bed. While the boy was sleeping, the frog got up and jumped out of his bowl and went away. When the boy awoke the next morning, he was very sad to find out that the frog wasn’t there anymore. To try and cheer himself up, he went out looking for the frog. He went out to his backyard, but he couldn’t find the frog there. He went and searched the forest, but he also couldn’t find the frog there. To get better ground, he stood on top of a rock to shout for the frog. When he shouted the first time, a mean and evil deer scooped the boy up and threw him into a river, knocking the boy out. Upon waking up, the boy gathered his surroundings and propped himself up on a log. Looking around, he noticed some new animals he has never seen before, like a squirrel.	
