Subcorpus	Filename	Year data collection	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Variety of native language (country)	Father's native language	Mother's native language	Languages spoken at home	Any foreign language?	Foreign language	Proficiency (self-assessment) in foreign language speaking	Proficiency (self-assessment) in foreign language listening	Proficiency (self-assessment) in foreign language reading	Proficiency (self-assessment) in foreign language writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writing/audio details	Minutes taken to complete the task	Resources used	Text	Original text
Native	EN_SP_20_14_EES	2018	Female	20	Messiah College	Spanish and Politics	3rd	English	American English	English	English	English	Yes	Spanish	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab	2	""	uh there is a man walking through the street and he stops to smoke a cigarette when he finds a baby on the ground beside him / and he picks up this baby and intents to find the mother and he finds a woman with a baby stroller puts the baby inside and the woman stops him because it is not her baby she already has a baby in the stroller / uh so he picks the baby back up and walks around with it and then decides to leave it in the exact spot on the ground where he had found the baby / uh but then the police man sees him do this / and he picks up the baby again and has to go find someone else to give it to / uh and so he finds an older man with a cane walking through the street with a bit and gives the baby to him / uh and runs away from him / and this other man goes and puts the baby in the exact same baby stroller as the first man did / and when the woman leaves / the store that she's in she sees this other baby in the stroller and is very upset / so / and then the first man walks by the carriage at this point / uh and the woman catches him and is yelling at him and / the police come / and eventually this first man takes the baby again / and he walks with the baby a little bit more and then sits down on the curb / uh where he is thinking and it looks like he wants to put the baby in the the sewer drain underneath the street but then / doesn't and he finds a note in the baby's blanket that says uh please care for 'n' love my orphan child / and / he thinks a little bit more and he gets up and leaves and it appears that he does intent to take care of this child /	
Native	EN_SP_20_14_CP	2018	Female	20	Central College	Spanish and Sociology	2	English	American English	English	English	English	Yes	Spanish	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab	5	""	ok so the video starts off with a guy / who is walking around and / he almost gets hit by a ton of bricks and then / after that he goes for a smoke and after he starts smoking he starts walking a little and he finds a baby / uh on the ground wrapped up in blankets so then he picks the baby up 'n' / starts looking around to see if there's someone who / forgot the baby or something and / he / sees a woman with a baby carriage wa= walk by / and so he goes over there and sets the baby in the baby carriage / with / the woman's other baby / but then she comes out and she / he realizes it's not hers and she gets mad / so he takes the baby again and / starts walking away / then he starts looking for another place to / put the baby and / the police start suspecting something so they start following him around / and the man / is walking and sees another man and / hands the baby to him and runs away / and then the police find him again so he / kind of just runs off again / and after that / uh the other man puts the baby in the same carriage / and the woman thought it was the first man who did it so she starts running after him / and so he takes the baby again and / decides to go sit down with the baby / and he opens up the blankets and finds a little note with the baby that says that the child is an orphan and he decides to keep the baby	
Native	EN_SP_20_14_AB	2018	Female	20	Central College	Biology and Spanish	Junior	English	American English	English	English	English	Yes	Spanish	A2 (upper beginner)	B2 (upper intermediate)	A2 (upper beginner)	A2 (upper beginner)	6 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab	5	""	ok so / this / is / a video / of / Charlie Chaplin and / he / is might just be at the wrong place / at the wrong time every single time / he / is walking / and he / comes across this baby and a blanket by the dumpster / and / for us / I guess we would assume that it's just an orphan child or someone left the baby / uh but the title of the video is awkward as so I guess he / really didn't pick up that social cue / so / as he comes across the baby he picks it up / and / he sees that / a woman has come by with her carriage and seems to have a space for two babies / so he's like oh this lady has lost her baby and so he puts the baby in the cart and the lady / gets angry because clearly it's not her baby / and she gets mad at him so he takes the baby out / and he / wants to put it back where he found it cause clearly that was not the wrong spot / and then a police man shows up / and / the police man / is / watching over / Charlie / and Charlie realizes that he can't just / leave the baby / where / he found it / and so / then he picks up the baby because / now he is in charge of this baby that he's found / and he / obviously doesn't want the baby because he walks around / uh in a hurry trying to figure out what to do with it and so he sees a man / and he tricks the man / into taking the baby / and so as the man has the baby he comes across the same woman with the baby carriage that seems to have a space for two babies / and the man / puts the baby in the baby carriage / but / as he walks away / Charlie then comes by and the lady recognizes Charlie as the one who originally put the baby in the baby carriage / and so / the lady / then spots Charlie / walking and / she again gets mad at him / and so / the police man then comes by once again / at the wrong time / and Charlie seems to be there at the wrong place at the wrong time and the police man watches over and so / Charlie once again has to take the baby / and so / now he feels like he's all out of options so / he / sits down on the curb side / and / sees that there's a note with the baby / and it says / please care for this orphan child / so / it seems as though / once he saw this note / that said the child was an orphan child / he flipped the switch and was like oh this child has nobody I must care for it / whereas before / the child / just seemed to be lost / and so he had to care for this / find a home for this lost baby / but / it turns out it's an orphan child but what's interesting is that the police man / wasn't really doing anything he was just standing / and watching and / not making an efford to / find the owner or a home for this baby it was all up to Charlie Chaplin so / the video ends and we don't know / what happens / after / but it appears that / Charlie must care for this baby / I wonder if there's a sequel	
Native	EN_SP_20_14_SM	2018	Female	20	Central College	Business Management	Sophomore	English	American English	English	English	English	Yes	Spanish	A1 (lower beginner)	A1 (lower beginner)	A2 (upper beginner)	A1 (lower beginner)	6 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab	5	""	first of all the guy goes and he's just walking around on this area with a building and / uh then he something drops from the building and / he's keeps walking on / and / he / uh eventually light his cigar / uh from his foot I think uh and then / he all of the sudden the / scene changes a little bit when he like / uh knows where he is he's all settle and then all of the sudden he sees a baby / uh and then he goes and picks it up / uh and this woman / uh came by while her stroller was in the area that he was in and so uh he eventually put the baby in the stroller / and uh started walking away the woman caught him / and so he realizes he did something wrong and so he took the baby / uh out of the stroller and / uh put the baby back / uh and then / uh / the police man came by and the original man thought / it was wrong so he pick the baby back up / uh / then the police man left / then the guy the next guy with a beard / came by and / uh / was just / strolling along and then / the original dude uh / took and gave the baby to the guy / and / and then he's starting walking away with the baby / the guy with the bearded / and then he put it in the stroller / uh which is like in a new scene / uh so then the / uh baby was in the stroller / with the woman / and / the bear= the guy with the beard left and uh / and then / all of the sudden the original guy / uh came by / just so happen that it he was walking by the woman again with the stroller / uh the woman got mad at him and so he took the baby / so now he has the baby back / uh / and then / the police man watched that whole scene / uh half way through I think / uh / and so he was frustrated the original guy was frustrated / and he's starting walking along the street with the baby he dropped his cane / and then he sat down and just / started looking at the baby more intensively and then / there is a piece of paper written in it uh said take care and love this orphan child / and I think that kind of soften his heart to where he / uh / wanted to take care of this child so / after all that he uh / started to bring a smile to his face there is more light to his uh emotions and interactions and I think / uh / after he saw / or after / everything was done he was more happy / with / the / whole situation and why he got placed with the baby	
Native	EN_SP_20_14_TK	2018	Female	20	Central College	Business Management and Spanish	3rd	English	American English	English	English	English	Yes	Spanish	B2 (upper intermediate)	B1 (lower intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab	6	""	so in the video / uh Charlie is walking through the alley and people throwing trush out of the window and it hits him / uh and then decides he's gonna smoke a cigar and while he's standing in this alley smoking his cigar sees a baby on the ground / so he picks up the baby doesn't know who belongs to and all of the sudden a lady in a stroller walks by / and he just assumes oh must be this lady's baby so goes and puts / the baby he found in the alley in this lady's stroller and she comes out and gets mad at him because it's not her baby / so then walks back to / the alley he was in before and tries to set the baby d= back down on the ground / when a police officer sees Charlie doing this obviously and it looks like Charlie is trying to get rid of his own baby / and so then he asks to keep it / and so then he's wondering what to do / and uh he sees a man and / gives the man the baby and runs away / the man can't find Charlie cause Charlie is hidding in the alley / and so the man walks down on to a main street and sees an empty stroller belonging to the lady that Charlie had already tried to give the baby to / and he puts the baby in the stroller and the lady comes out and sees the baby / unfortunately Charlie walks out onto the street and the lady sees Charlie and assumes that he put the baby in her stroller again and she starts beating him with an umbrella / called the police man over / and so Charlie has to take the baby / and so then Charlie finally takes the baby and he goes to sits down on the curb / thinks about putting the baby down to the sewer drain / then he looks in the baby's blankets and sees a note / uh that addresses how the baby is an orphan child / so Charlie kinda reads it and then walks off with the baby	
Native	EN_SP_20_14_PM	2018	Male	20	Central College	English and Spanish	Sophomore	English	American English	English	English	English	Yes	Spanish	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab	10	""	so in the / Charlie Chaplin video I just watched / he's walking down the street / minding his own business and / after a little bit of comic uh xxx out of him getting almost hit with bricks and lightning a cigar / he stumbles upon uh a baby / uh that just sitting on the ground / and at first he tries to he's not really sure what to do and then he tries to give it to a woman / and then the woman like catches him / trying to give the baby away and she's like no you take it back / so then he's kind of stuck / looking around he's not really sure what to do / and he's about to leave the baby uh pretty much back where he found it / and then a police officer walks by and almost catches him / xxx this child and obviously / not knowing the context the woman or the police officer / uh it looks pretty bad for Charlie so / Charlie ends up taking the baby and starts walking around try to find another place / uh to / or someone else to give the baby to / and he ends up finds this random man on the street / and he just give the baby the random man and runs away and the mans' like what do I do / so he ends up / funny enough finding the same woman that Charlie tried to give the baby to earlier and puts it in / her baby carriage / that are her ones in and walks away / and then by ten seconds later Charlie walks by and the woman notices Charlie walking by / and he looks at her / uh ca= baby carriage and she sees that oh there's the same baby as before so she gives him like a whaking with her umbrella / and afterwards ends up making him taking the baby again / then eventually hhh uh /  Charlie after some more / uh small / incident Charlie ends up sitting down with the baby kind of frustrated not sure what to do / so sits down with the baby and / peeks into a drain well or manhole and / maybe for a brief moment considers putting the baby down there / after some bare judgment better thinking he decides not to and holds the baby and then he ends up finding a small note that says please love this orphan child / and at the end of the video Charlie ends up keeping the baby /	
Native	EN_WR_21_14_AL	2018	Female	21	Monmouth College	Public Relations, Spanish	3	English	American English	English	English	English	Yes	Spanish	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	5	""	Chaplin is walking through the streets as someone is throwing furniture out the windows, eventually hitting him. He then lights a cigarette and turns around to find a crying baby by the garbage. He immediately picks up the baby and attempts to place it in the baby carriage of a woman walking by, telling her that she dropped something. The woman is obviously aware that the man had placed the baby in the carriage himself, so she demands that he take the baby. He then tries to put it back where he found it, only to be caught by a police officer. He makes several more attempts to get rid of the baby, but is caught each time. Eventually, he sits down with the baby, reaches into its blanket, and finds a note asking to please take care of the orphan. Immediately, the man’s attitude changes, and the skit ends with him walking happily with his new child.	
Native	EN_WR_21_14_AF	2018	Female	21	Valparaiso University	Psychology	Junior (3rd year)	English	American English	English	English	English	Yes	Spanish	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	5	""	"Charlie Chaplin was walking along the street, smoking, when he came across a baby lying on the side of the road. He picked the baby up, and saw a lady with a baby carriage walking along the street. He put the baby he found in the baby carriage, telling her that she ""dropped something."" She refused and threatened him, so he took the baby back. He tried to put the baby back where he found it but a policeman saw him, so he had to take the baby back again. Then he saw an old man walking along the street and asked the man to hold the baby for a moment while he tied his shoe. The man agreed, and Charlie quickly ran away and hid. The man put the baby in the same woman's baby carriage. She came out, saw the baby, and then saw Charlie walking by and beat him with her umbrella until he took the baby back (she thought Charlie had put the baby in her carriage again!). The same policeman came over, and Charlie took the baby again. He went to go sit on a curb and considered dumping the baby down a sewer drain. However, he found a note in the baby's blanket that said ""please love and care for this orphan child."" This warmed his heart, and so he took the baby with him."	
Native	EN_WR_21_14_CO	2018	Male	21	Monmouth College	Accounting and Spanish	Junior	English	American English	English	English	English	Yes	Spanish	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	4	""	Charlie Chaplin is walking in an alley when he finds a child crying in the street. There isn’t anyone else around so he tries to find the parent or caretaker of the child to return it. He tries to give it to a woman who has another child and a large carriage for children but she clearly isn’t the mother because she refuses to take it. Then when going to return the child back to where he found it, a police officer arrives and it looks like Charlie is abandoning the child in the street so he keeps it again. Charlie gives the child to a random man in the street, who then puts it into the carriage of the woman from earlier. She then forces Charlie to keep the baby. Finally he finds a note that asks whoever is reading to love and care for this orphan child and Charlie walks away with it in hand.	
Native	EN_WR_21_14_TS	2018	Male	21	Northwestern College	Biology and Chemistry	Senior	English	American English	English	English	English	Yes	Spanish	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	5	""	The video is about a man that is walking along a street one day when he sees a child in alley way. Feeling sorry for the abandoned child, he picks the child up and looks around to see if it belongs to anyone. Seeing a mother with a stroller, he tries to leave the child with her. However, she does not want it either and forces him to keep it. He returns to the spot where he found the child and tries to put it back. Suddenly, a police officer appears and he is forced to keep the child once again. Next, he tricks and older gentleman into taking the child and then runs away. The older gentleman tries to follow, but loses him. Ironically, he ends up next to the mother's stroller and he puts the baby in there and leaves. As the man that found the child first walks past the stroller the mother comes out of the store and sees the abandoned child. She hits the man with her umbrella and forces him to take the child. The man finds a note stating the child is an orphan. The story ends with the man keeping the child.	
Native	EN_WR_21_14_GLN	2018	Female	21	Valparaiso University	Elementary Education & Spanish	Junior	English	American English	English	English	English	Yes	Spanish	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	5	""	Charlie Chaplin was walking through an alleyway when all of a sudden bricks of some sort fell from a window and almost hit him.  Then he paused to light a cigarette and as he was smoking he noticed a baby on the ground, crying.  He debated picking up the baby but then he does.  After he picks up the baby he notices a woman with a stroller already carrying a baby, so he thinks it is hers and leaves the baby in her stroller.  The woman comes out and yells at Chaplin, telling him it's not hers.  He then grabs the baby and is about to put it back where he found it, but there is a policeman behind him.  Chaplin takes the baby and gives it to an old man, who once again finds the woman's stroller and puts it in there.  The woman comes out of the store and thinks that Chaplin put it there again because he was passing by as she came out.  They get in a disagreement and Chaplin takes the baby again as the policeman shows up.  Chaplin sits on the side walk, debating whether or not to put the baby in the sewer.  He sees a note on the baby's blanket telling him to love and care for the orphan child.  Finally, he decides to keep the child and walks away.	
Native	EN_WR_21_14_SM	2018	Female	21	Roger Williams University	Biology and Spanish	Junior	English	American English	English	English	English	Yes	Spanish	A2 (upper beginner)	A2 (upper beginner)	B1 (lower intermediate)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	3	""	Charles Chaplin is walking when he finds a baby. The baby is wrapped up in a blanket on the ground and is crying. He picks up the baby and as he tries to set the baby back down, a police officer approaches. It appears like he is trying to abandon his own baby so he picks it back up and moves on. He continues to try to get rid of the baby, each time with no luck. Finally, he finds a note in the baby's blanket saying that he's an orphan and needs to be cared for and loved. Charles smiles and walks off with the baby.	
Native	EN_SP_21_14_SM	2018	Female	21	Roger Williams University	Biology and Spanish	Junior	English	American English	English	English	English	Yes	Spanish	A2 (upper beginner)	A2 (upper beginner)	B1 (lower intermediate)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab	3	""	uh in the video Charlie Chaplin was walking down in the alley when he finds a baby / he picks up the baby and tries to give it to a woman who also has another baby / uh she doesn't let him and so he takes it back / he walks back down the alley and tries to put the baby back down where he found it / uh then a police officer comes down and so he has to pick up / back up the baby and continue on / he then tries to give the baby to an older man / uh the man ends up putting the baby / in the crib of the woman who Charlie Chaplin had originally tried to give the baby to / so when Charlie walked by the woman again she stopped him and had him take the baby back / uh Charlie Chaplin then walks and sat down on a curb / and found a note inside the babys' blanket / that said please love and care for this orphan child / and after that he kept the baby	
